台中公園,24.138687,120.680428,台中市西區民權路,台中公園是台中市最古老的公園之一，有悠久的歷史與美麗的花園景觀。,https://photo.travelking.com.tw/scenery/091C8613-7DE7-4CF0-A233-6FAF595A267B_e.jpg
文化資產橫丁,24.139953,120.679787,台中市中區中山路,文化資產橫丁是一條保存完整的日治時代街道，保留了當時的建築風格。,https://tw.visitmiyagi.com/wp-content/uploads/2021/02/2K6A9291-resized-WK-e1612168117777-1200x633.jpg
台中火車站,24.136829,120.685449,台中市北區台中港路一段,台中火車站是一座歷史悠久的車站，充滿了懷舊的風情與現代的繁華。,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCAL1XsOeCWAkbV0ZjzfZBDegaoq2rZKlVQg&s
台中都會公園,24.144842,120.686294,台中市北區五權路,台中都會公園是一個寧靜的城市綠地，提供了市民休閒娛樂的好去處。,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUWbK8OVF9rKdSWO3PnFfAR5EUWccHA3XBUQ&s
台中孔子廟,24.146211,120.682322,台中市北區育德路,台中孔子廟是一座傳統的中國風格建築，是台中市的文化重要地標之一。,https://upload.wikimedia.org/wikipedia/commons/0/05/%E8%87%BA%E4%B8%AD%E5%AD%94%E5%AD%90%E5%BB%9F%E5%A4%A7%E6%88%90%E6%AE%BF.jpg
國立台灣美術館,24.165209,120.675153,台中市西屯區美術路二段,國立台灣美術館是台灣重要的美術館之一，收藏展示了豐富的藝術作品。,https://travel.taichung.gov.tw/image/61386/1024x768
東海大學,24.181634,120.595686,台中市西屯區台灣大道四段,東海大學是台灣知名的私立大學，校園內有許多珍貴的建築與文物。,https://images.chinatimes.com/newsphoto/2020-03-25/656/B22A00_P_02_02.jpg
臺中州廳,24.139011,120.679499,台中市中區綠川西街,臺中州廳是一座具有悠久歷史的歐式建築，曾為台中的行政中心。,https://travel.taichung.gov.tw/image/58277/1024x768
台中公會堂,24.136375,120.680735,台中市中區民權路,台中公會堂是一座典雅的建築，是早期台中的重要文化活動場所。,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFdUnRTtQj9LAmV7VcOWFM9weO0Cm3hs72ow&s
美仁里彩繪巷,24.2353682,120.560695,台中市沙鹿區美仁巷19-1號,共有五大幅維妙維肖的彩繪壁畫，重現早期臺灣的純樸生活面貌，勾起人們的兒時美好回憶，是一處值得細細品味、漫步探訪的臺中新興拍照景點。,https://img.ltn.com.tw/Upload/news/600/2015/05/03/92.jpg
